Parcel Number,Class,County,Price,List Date,List Price,Selling Price,Selling Price,Days On Market,Days On MLS,Closed Date,Date History Status,Price / SqFt,List Price / SqFt,Sold Price/SqFt,Original Price,Date Price Change,How Sold Code,Address,City,State,Zip Code,SFHeatCool,Year Built,Baths,Bedrooms,Half-Baths,Condition,Listing Type,Listing Visibility Type,AddtRentYN,# Tenants,# Floors,Cap Rate %,Condition,Date Leased,For Comp Purposes Only Y/N,MLS Only Entry Y/N (No Services Provided),Number of Acres,Pass Thru Exp/SF Annual,Price/SqFt Annual,Price/SqFt Monthly,Sale/Rent,Short Sale Y/N,Taxes - Annual,Total # of Units,# of Garage Spaces,Garage Y/N,Net Operating Income,Pool Y/N,Zoning,Bank Owned Y/N,Auction
07285-001-216,AT,Alachua,"$166,000 ",3/16/2019,"$165,000 ","$166,000 ",,139,139,8/2/2019,8/10/2019,$129.92 ,,$130.71 ,"$165,000 ",8/10/2019,CONVENTIONAL,2515 SW 35TH Place 216,Gainesville,FL,32608,"1,270",2007,3,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,391 ",,,No,,,,No,No
09013-011-013,AT,Alachua,"$150,000 ",2/17/2018,"$165,000 ","$150,000 ",,156,154,7/23/2018,7/24/2018,$105.91 ,,$96.28 ,"$200,000 ",7/24/2018,CASH,1719 NW 23 Avenue 1C,Gainesville,FL,32605,"1,558",1972,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,365 ",,,No,,,,No,No
06860-170-067,AT,Alachua,"$157,000 ",3/19/2018,"$157,900 ","$157,000 ",,88,88,6/15/2018,6/21/2018,$110.34 ,,$109.71 ,"$157,900 ",6/21/2018,CONVENTIONAL,10000 SW 52ND Avenue M- 67,Gainesville,FL,32608,"1,431",1998,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,689 ",,,No,,,,No,No
06076-053-037,AT,Alachua,"$147,500 ",9/17/2019,"$152,500 ","$147,500 ",,82,82,12/24/2019,12/30/2019,$127.08 ,,$122.92 ,"$157,900 ",12/30/2019,FHA,2482 FOREST Way,Gainesville,FL,32605,"1,200",1975,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,$730 ,,,No,,,,No,No
06237-015-002,AT,Alachua,"$114,000 ",9/14/2017,"$114,900 ","$114,000 ",,99,99,5/18/2018,5/23/2018,$92.59 ,,$91.86 ,"$139,900 ",5/23/2018,CONVENTIONAL,2825 NW 104th Court B,Gainesville,FL,32606,"1,241",1994,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,324 ",,2,Yes,,,,Yes,No
09013-011-051,AT,Alachua,"$155,000 ",6/6/2018,"$155,000 ","$155,000 ",,14,9,6/20/2018,6/20/2018,$120.81 ,,$120.81 ,"$155,000 ",6/11/2018,CASH,1719 NW 23rd Avenue 5A,Gainesville,FL,32605,"1,283",1972,1,2,1,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,Yes,,,,,For Sale,No,$690 ,,2,No,,,,No,No
09003-010-256,AT,Alachua,"$70,000 ",5/9/2019,"$70,000 ","$70,000 ",,22,0,5/31/2019,5/31/2019,$65.42 ,,$65.42 ,"$70,000 ",5/31/2019,CASH,1810 NW 23RD Boulevard 256,Gainesville,FL,32605,"1,070",1972,2,2,0,Other,Exclusive Agency,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,372 ",,,No,,,,No,No
09009-010-267,AT,Alachua,"$138,000 ",4/23/2018,"$149,900 ","$138,000 ",,109,107,8/10/2018,8/13/2018,$103.17 ,,$94.98 ,"$149,900 ",8/13/2018,CONVENTIONAL,2267 NW 16TH Terrace,Gainesville,FL,32605,"1,453",2005,3,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,443 ",,,No,,,,No,No
06819-020-119,AT,Alachua,"$140,000 ",12/12/2018,"$140,000 ","$140,000 ",,30,14,1/11/2019,1/11/2019,$123.46 ,,$123.46 ,"$140,000 ",12/28/2018,CONVENTIONAL,4700 SW Archer Road 119,Gainesville,FL,32608,"1,134",1997,2,2,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$2,242 ",,1,Yes,,,,No,No
6680010009,AT,Alachua,"$95,500 ",4/7/2017,"$99,000 ","$95,500 ",,105,105,7/21/2017,7/24/2017,$89.51 ,,$86.35 ,"$99,000 ",7/24/2017,CONVENTIONAL,900 SW 62nd Boulevard B-9,Gainesville,FL,32609,"1,106",1985,2,2,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,456 ",,,No,,,,No,No
08160-005-021,AT,Alachua,"$110,000 ",12/28/2018,"$110,000 ","$110,000 ",,82,82,3/20/2019,3/22/2019,$71.06 ,,$71.06 ,"$100,000 ",12/28/2018,CONVENTIONAL,4109 NE 17th Terrace,Gainesville,FL,32609,"1,548",1979,2,3,0,Other,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,791 ",,,No,,,,No,No
06757-005-125,AT,Alachua,"$120,000 ",6/9/2017,"$127,500 ","$120,000 ",,96,96,9/13/2017,11/3/2017,$108.33 ,,$101.95 ,"$127,000 ",11/3/2017,CASH,2601 SW Archer Road G125,Gainesville,FL,32608,"1,177",1993,2,4,0,,Exclusive Right of Sale,MLS Listing,,,,,,,No,No,,,,,For Sale,No,"$1,492 ",,,No,,,,No,No
